dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65
2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53
2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30
2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22
2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31
2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9
2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5
2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2
2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1
2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3
2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30
2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,64
2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154
2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88
2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44
2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51
2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61
2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61
2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77
2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72
2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76
2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157
2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157
2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110
2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52
2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52
2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20
2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12
2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5
2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2
2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2
2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4
2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94
2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179
2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100
2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42
2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57
2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78
2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,97
2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63
2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65
2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83
2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212
2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,182
2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112
2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54
2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48
2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35
2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11
2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6
2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6
2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2
2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2
2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3
2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33
2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,88
2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195
2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,115
2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,57
2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46
2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79
2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71
2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,62
2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,62
2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89
2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,190
2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169
2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132
2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89
2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,43
2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,42
2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19
2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11
2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4
2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2
2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1
2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4
2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36
2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95
2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,219
2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,122
2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,45
2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59
2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,84
2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67
2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70
2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,62
2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86
2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172
2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163
2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112
2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69
2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48
2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52
2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,23
2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,17
2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,7
2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,1
2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1
2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,5
2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,34
2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84
2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,210
2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134
2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,63
2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,67
2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,59
2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73
2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,50
2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72
2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87
2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,187
2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123
2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,95
2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51
2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,39
2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,36
2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,15
2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,25
2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,16
2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,16
2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,7
2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,1
2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5
2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2
2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,9
2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15
2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20
2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,61
2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,62
2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,98
2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,102
2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95
2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74
2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76
2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69
2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55
2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30
2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28
2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37
2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34
2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22
2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,25
2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12
2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11
2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4
2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,1
2011-01-09,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,1
2011-01-09,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1
2011-01-09,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,6
2011-01-09,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10
2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19
2011-01-09,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49
2011-01-09,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49
2011-01-09,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,83
2011-01-09,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,75
2011-01-09,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,72
2011-01-09,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,82
2011-01-09,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,92
2011-01-09,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,62
2011-01-09,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,48
2011-01-09,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,41
2011-01-09,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38
2011-01-09,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,20
2011-01-09,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,15
2011-01-09,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,6
2011-01-10,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,5
2011-01-10,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1
2011-01-10,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3
2011-01-10,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1
2011-01-10,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,3
2011-01-10,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3
2011-01-10,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31
2011-01-10,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77
2011-01-10,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188
2011-01-10,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,94
2011-01-10,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31
2011-01-10,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,30
2011-01-10,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,52
2011-01-10,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,54
2011-01-10,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,47
2011-01-10,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,45
2011-01-10,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,74
2011-01-10,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,178
2011-01-10,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,155
2011-01-10,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,95
2011-01-10,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,74
2011-01-10,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,38
2011-01-10,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,24
2011-01-10,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18
2011-01-11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,12
2011-01-11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3
2011-01-11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,3
2011-01-11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6
2011-01-11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27
2011-01-11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,99
2011-01-11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,217
2011-01-11,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,130
2011-01-11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,54
2011-01-11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,35
2011-01-11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,57
2011-01-11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,52
2011-01-11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,63
2011-01-11,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,47
2011-01-11,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,76
2011-01-11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,136
2011-01-11,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,95
2011-01-11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,51
2011-01-11,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,32
2011-01-11,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,20
2011-01-11,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,29
2011-01-11,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,19
2011-01-12,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,7
2011-01-12,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,6
2011-01-12,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1
2011-01-12,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,5
2011-01-12,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,16
2011-01-12,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,54
2011-01-12,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,128
2011-01-12,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,81
2011-01-12,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,39
2011-01-12,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,35
2011-01-12,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,55
2011-01-12,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,49
2011-01-12,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,44
2011-01-12,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,49
2011-01-12,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,68
2011-01-12,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,139
2011-01-12,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,137
2011-01-12,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,83
2011-01-12,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,56
2011-01-12,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,57
2011-01-12,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,33
2011-01-12,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,20
2011-01-13,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,7
2011-01-13,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,2
2011-01-13,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,2
2011-01-13,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,3
2011-01-13,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,4
2011-01-13,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,3
2011-01-13,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,28
2011-01-13,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,72
2011-01-13,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,202
2011-01-13,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,139
2011-01-13,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,38
2011-01-13,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,37
2011-01-13,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,52
2011-01-13,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,83
2011-01-13,1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,42
2011-01-13,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,60
2011-01-13,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,78
2011-01-13,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,162
2011-01-13,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,144
2011-01-13,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,99
2011-01-13,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,64
2011-01-13,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,40
2011-01-13,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,30
2011-01-13,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,15
2011-01-14,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,14
2011-01-14,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,5
2011-01-14,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,1
2011-01-14,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,1
2011-01-14,1,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,8
2011-01-14,1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0.0,17
2011-01-14,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,70
2011-01-14,1,0,1,8,0,5,1,1,0.12,0.1667,0.68,0.0,158
2011-01-14,1,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,117
2011-01-14,1,0,1,10,0,5,1,1,0.18,0.1818,0.55,0.194,44
2011-01-14,1,0,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836,53
2011-01-14,1,0,1,12,0,5,1,1,0.2,0.197,0.44,0.2537,61
2011-01-14,1,0,1,13,0,5,1,1,0.22,0.197,0.37,0.3881,77
2011-01-14,1,0,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836,64
2011-01-14,1,0,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642,68
2011-01-14,1,0,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045,90
2011-01-14,1,0,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642,159
2011-01-14,1,0,1,18,0,5,1,1,0.2,0.2576,0.47,0.0,139
2011-01-14,1,0,1,19,0,5,1,1,0.16,0.197,0.59,0.0896,92
2011-01-14,1,0,1,20,0,5,1,1,0.18,0.2424,0.59,0.0,68
2011-01-14,1,0,1,21,0,5,1,1,0.16,0.2273,0.69,0.0,52
2011-01-14,1,0,1,22,0,5,1,2,0.16,0.2273,0.69,0.0,36
2011-01-14,1,0,1,23,0,5,1,2,0.18,0.2424,0.55,0.0,27
2011-01-15,1,0,1,0,0,6,0,1,0.18,0.2424,0.55,0.0,28
